Attack Number,Total Distance
21/12/2023 11:49:41,1,0.001246494
21/12/2023 11:49:41,2,0.007725756
21/12/2023 11:49:41,3,0.009854372
21/12/2023 11:49:41,4,0.01305115
21/12/2023 11:49:41,5,0.01597246
21/12/2023 11:49:41,6,0.01935155
21/12/2023 11:49:41,7,0.0236283
21/12/2023 11:49:41,8,0.02751068
21/12/2023 11:49:41,9,0.03182606
21/12/2023 11:49:41,10,0.03683185
21/12/2023 11:49:41,11,0.04255696
21/12/2023 11:49:41,12,0.04827126
21/12/2023 11:49:41,13,0.05395249
21/12/2023 11:49:41,14,0.06103884
21/12/2023 11:49:41,15,0.06788307
21/12/2023 11:49:41,16,0.07631887
21/12/2023 11:49:41,17,0.08804688
21/12/2023 11:49:41,18,0.1003086
21/12/2023 11:49:41,19,0.1108715
21/12/2023 11:49:41,20,0.1201562
21/12/2023 11:49:41,21,0.1300816
21/12/2023 11:49:41,22,0.1396639
21/12/2023 11:49:41,23,0.1508255
21/12/2023 11:49:41,24,0.161452
21/12/2023 11:49:41,25,0.1720597
21/12/2023 11:49:41,26,0.1842878
21/12/2023 11:49:41,27,0.1960012
21/12/2023 11:49:41,28,0.207553
21/12/2023 11:49:41,29,0.2210385
21/12/2023 11:49:41,30,0.2334793
21/12/2023 11:49:41,31,0.2467696
21/12/2023 11:49:41,32,0.2600885
21/12/2023 11:49:41,33,0.2755221
21/12/2023 11:49:41,34,0.2895879
21/12/2023 11:49:41,35,0.327167
21/12/2023 11:49:41,36,0.3452373
21/12/2023 11:49:41,37,0.3575822
21/12/2023 11:49:41,38,0.3787353
21/12/2023 11:49:41,39,0.3944804
21/12/2023 11:49:41,40,0.4106967
21/12/2023 11:49:41,41,0.4304345
21/12/2023 11:49:41,42,0.4479799
21/12/2023 11:49:41,43,0.4654293
21/12/2023 11:49:41,44,0.4879409
21/12/2023 11:49:41,45,0.5247709
21/12/2023 11:49:41,46,0.5522273
21/12/2023 11:49:41,47,0.5717008
21/12/2023 11:49:41,48,0.5933111
21/12/2023 11:49:41,49,0.6134938
21/12/2023 11:49:41,50,0.6442402
21/12/2023 11:49:41,51,0.6615644
21/12/2023 11:49:41,52,0.6960738
21/12/2023 11:49:41,53,0.7227941
21/12/2023 11:49:41,54,0.7429302
21/12/2023 11:49:41,55,0.7643515
21/12/2023 11:49:41,56,0.7832217
21/12/2023 11:49:41,57,0.8017656
21/12/2023 11:49:41,58,0.8206291
21/12/2023 11:49:41,59,0.8426015
21/12/2023 11:49:41,60,0.8613791
21/12/2023 11:49:41,61,0.8778427
21/12/2023 11:49:41,62,0.8962694
21/12/2023 11:49:41,63,0.9123458
21/12/2023 11:49:41,64,0.9290532
21/12/2023 11:49:41,65,0.9475667
21/12/2023 11:49:41,66,0.9621901
21/12/2023 11:49:41,67,0.9773473
21/12/2023 11:49:41,68,0.9942864
21/12/2023 11:49:41,69,1.008261
21/12/2023 11:49:41,70,1.023037
21/12/2023 11:49:41,71,1.055754
21/12/2023 11:49:41,72,1.122943
21/12/2023 11:49:41,73,1.13791
21/12/2023 11:49:41,74,1.148972
21/12/2023 11:49:41,75,1.16363
21/12/2023 11:49:41,76,1.173181
21/12/2023 11:49:41,77,1.181992
21/12/2023 11:49:41,78,1.191796
21/12/2023 11:49:41,79,1.199617
21/12/2023 11:49:41,80,1.207778
21/12/2023 11:49:41,81,1.215933
21/12/2023 11:49:41,82,1.222756
21/12/2023 11:49:41,83,1.229493
21/12/2023 11:49:41,84,1.23589
21/12/2023 11:49:41,85,1.242823
21/12/2023 11:49:41,86,1.248558
21/12/2023 11:49:41,87,1.253786
21/12/2023 11:49:41,88,1.259619
21/12/2023 11:49:41,89,1.264126
21/12/2023 11:49:41,90,1.268383
21/12/2023 11:49:41,91,1.272611
21/12/2023 11:49:41,92,1.276105
21/12/2023 11:49:41,93,1.279215
21/12/2023 11:49:41,94,1.282105
21/12/2023 11:49:41,95,1.284466
21/12/2023 11:49:41,96,1.286824
21/12/2023 11:49:41,97,1.287297
21/12/2023 11:49:41,98,1.28851
21/12/2023 11:49:41,99,1.289726
21/12/2023 11:49:41,100,1.291299
21/12/2023 11:49:41,101,1.293262
21/12/2023 11:49:41,102,1.299626
21/12/2023 11:49:41,103,1.301953
21/12/2023 11:49:41,104,1.305687
21/12/2023 11:49:41,105,1.310613
21/12/2023 11:49:41,106,1.314876
21/12/2023 11:49:41,107,1.320366
21/12/2023 11:49:41,108,1.325725
21/12/2023 11:49:41,109,1.331471
21/12/2023 11:49:41,110,1.337926
21/12/2023 11:49:41,111,1.344094
21/12/2023 11:49:41,112,1.350742
21/12/2023 11:49:41,113,1.358907
21/12/2023 11:49:41,114,1.366492
21/12/2023 11:49:41,115,1.37438
21/12/2023 11:49:41,116,1.383453
21/12/2023 11:49:41,117,1.393465
21/12/2023 11:49:41,118,1.402218
21/12/2023 11:49:41,119,1.413891
21/12/2023 11:49:41,120,1.425652
21/12/2023 11:49:41,121,1.435638
21/12/2023 11:49:41,122,1.449601
21/12/2023 11:49:41,123,1.468407
21/12/2023 11:49:41,124,1.486304
21/12/2023 11:49:41,125,1.500676
21/12/2023 11:49:41,126,1.513771
21/12/2023 11:49:41,127,1.527286
21/12/2023 11:49:41,128,1.542851
21/12/2023 11:49:41,129,1.557337
21/12/2023 11:49:41,130,1.572807
21/12/2023 11:49:41,131,1.590461
21/12/2023 11:49:41,132,1.607076
21/12/2023 11:49:41,133,1.62542
21/12/2023 11:49:41,134,1.652938
21/12/2023 11:49:41,135,1.669462
21/12/2023 11:49:41,136,1.686583
21/12/2023 11:49:41,137,1.725747
21/12/2023 11:49:41,138,1.740079
21/12/2023 11:49:41,139,1.768567
21/12/2023 11:49:41,140,1.785648
21/12/2023 11:49:41,141,1.804025
21/12/2023 11:49:41,142,1.826579
21/12/2023 11:49:41,143,1.848196
21/12/2023 11:49:41,144,1.869671
21/12/2023 11:49:41,145,1.90033
21/12/2023 11:49:41,146,1.920305
21/12/2023 11:49:41,147,1.941659
21/12/2023 11:49:41,148,1.970476
21/12/2023 11:49:41,149,2.003964
21/12/2023 11:49:41,150,2.053633
21/12/2023 11:49:41,151,2.073359
21/12/2023 11:49:41,152,2.099391
21/12/2023 11:49:42,153,2.129466
21/12/2023 11:49:42,154,2.156344
21/12/2023 11:49:42,155,2.181431
21/12/2023 11:49:42,156,2.219366
21/12/2023 11:49:42,157,2.351525
21/12/2023 11:49:42,158,2.396424
21/12/2023 11:49:42,159,2.420298
21/12/2023 11:49:42,160,2.455087
21/12/2023 11:49:42,161,2.480639
21/12/2023 11:49:42,162,2.504796
21/12/2023 11:49:42,163,2.540609
21/12/2023 11:49:42,164,2.561669
21/12/2023 11:49:42,165,2.59099
21/12/2023 11:49:42,166,2.622229
21/12/2023 11:49:42,167,2.685781
21/12/2023 11:49:42,168,2.718101
21/12/2023 11:49:42,169,2.75397
21/12/2023 11:49:42,170,2.79194
21/12/2023 11:49:42,171,2.816052
21/12/2023 11:49:42,172,2.83962
21/12/2023 11:49:42,173,2.863254
21/12/2023 11:49:42,174,2.885701
21/12/2023 11:49:42,175,2.910317
21/12/2023 11:49:42,176,2.931068
21/12/2023 11:49:42,177,2.951993
21/12/2023 11:49:42,178,2.974034
21/12/2023 11:49:42,179,2.99327
21/12/2023 11:49:42,180,3.011312
21/12/2023 11:49:42,181,3.029881
21/12/2023 11:49:42,182,3.049756
21/12/2023 11:49:42,183,3.066999
21/12/2023 11:49:42,184,3.085064
21/12/2023 11:49:42,185,3.103889
21/12/2023 11:49:42,186,3.120598
21/12/2023 11:49:42,187,3.136551
21/12/2023 11:49:42,188,3.153861
21/12/2023 11:49:42,189,3.169695
21/12/2023 11:49:42,190,3.184124
21/12/2023 11:49:42,191,3.20003
21/12/2023 11:49:42,192,3.214256
21/12/2023 11:49:42,193,3.227314
21/12/2023 11:49:42,194,3.241806
21/12/2023 11:49:42,195,3.254631
21/12/2023 11:49:42,196,3.27418
21/12/2023 11:49:42,197,3.290678
21/12/2023 11:49:42,198,3.300511
21/12/2023 11:49:42,199,3.31148
21/12/2023 11:49:42,200,3.320709
21/12/2023 11:49:42,201,3.342102
21/12/2023 11:49:42,202,3.35049
21/12/2023 11:49:42,203,3.358961
21/12/2023 11:49:42,204,3.36703
21/12/2023 11:49:42,205,3.377695
21/12/2023 11:49:42,206,3.385818
21/12/2023 11:49:42,207,3.393516
21/12/2023 11:49:42,208,3.399138
21/12/2023 11:49:42,209,3.404816
21/12/2023 11:49:42,210,3.410474
21/12/2023 11:49:42,211,3.415666
21/12/2023 11:49:42,212,3.419793
21/12/2023 11:49:42,213,3.423835
21/12/2023 11:49:42,214,3.427639
21/12/2023 11:49:42,215,3.430827
21/12/2023 11:49:42,216,3.433503
21/12/2023 11:49:42,217,3.435713
21/12/2023 11:49:42,218,3.437251
21/12/2023 11:49:42,219,3.438542
21/12/2023 11:49:42,220,3.439357
21/12/2023 11:49:42,221,3.439481
21/12/2023 11:49:43,222,3.4406
21/12/2023 11:49:43,223,3.445848
21/12/2023 11:49:43,224,3.449265
21/12/2023 11:49:43,225,3.45509
21/12/2023 11:49:43,226,3.4617
21/12/2023 11:49:43,227,3.471024
21/12/2023 11:49:43,228,3.480434
21/12/2023 11:49:43,229,3.490021
21/12/2023 11:49:43,230,3.499878
21/12/2023 11:49:43,231,3.512189
21/12/2023 11:49:43,232,3.526399
21/12/2023 11:49:43,233,3.540025
21/12/2023 11:49:43,234,3.556647
21/12/2023 11:49:43,235,3.573688
21/12/2023 11:49:43,236,3.591149
21/12/2023 11:49:43,237,3.608683
21/12/2023 11:49:43,238,3.628166
21/12/2023 11:49:43,239,3.651266
21/12/2023 11:49:43,240,3.672788
21/12/2023 11:49:43,241,3.695884
21/12/2023 11:49:43,242,3.740558
21/12/2023 11:49:43,243,3.780665
21/12/2023 11:49:43,244,3.847134
21/12/2023 11:49:43,245,3.884246
21/12/2023 11:49:43,246,3.917963
21/12/2023 11:49:43,247,3.952196
21/12/2023 11:49:43,248,3.994841
21/12/2023 11:49:43,249,4.028261
21/12/2023 11:49:43,250,4.065616
21/12/2023 11:49:43,251,4.117068
21/12/2023 11:49:43,252,4.15894
21/12/2023 11:49:43,253,4.201247
21/12/2023 11:49:43,254,4.251962
21/12/2023 11:49:43,255,4.310005
21/12/2023 11:49:43,256,4.349895
21/12/2023 11:49:43,257,4.395959
21/12/2023 11:49:43,258,4.452393
21/12/2023 11:49:43,259,4.494445
21/12/2023 11:49:43,260,4.538694
21/12/2023 11:49:43,261,4.627967
21/12/2023 11:49:43,262,4.670408
21/12/2023 11:49:43,263,4.71812
21/12/2023 11:49:43,264,4.778132
21/12/2023 11:49:43,265,4.822093
21/12/2023 11:49:43,266,4.861724
21/12/2023 11:49:43,267,4.906159
21/12/2023 11:49:43,268,4.964587
21/12/2023 11:49:43,269,5.006435
21/12/2023 11:49:43,270,5.052623
21/12/2023 11:49:43,271,5.104541
21/12/2023 11:49:43,272,5.131515
21/12/2023 11:49:43,273,5.161521
21/12/2023 11:49:43,274,5.19599
21/12/2023 11:49:43,275,5.220375
21/12/2023 11:49:43,276,5.266802
21/12/2023 11:49:43,277,5.30839
21/12/2023 11:49:43,278,5.349545
21/12/2023 11:49:43,279,5.375004
21/12/2023 11:49:43,280,5.399847
21/12/2023 11:49:43,281,5.414088
21/12/2023 11:49:43,282,5.438445
21/12/2023 11:49:43,283,5.462755
21/12/2023 11:49:43,284,5.483266
21/12/2023 11:49:43,285,5.50087
21/12/2023 11:49:43,286,5.528689
21/12/2023 11:49:43,287,5.573244
21/12/2023 11:49:43,288,5.609234
21/12/2023 11:49:43,289,5.640451
21/12/2023 11:49:43,290,5.666046
21/12/2023 11:49:43,291,5.692403
21/12/2023 11:49:43,292,5.719812
21/12/2023 11:49:43,293,5.743583
21/12/2023 11:49:44,294,5.770205
21/12/2023 11:49:44,295,5.788874
21/12/2023 11:49:44,296,5.810499
21/12/2023 11:49:44,297,5.829843
21/12/2023 11:49:44,298,5.850811
21/12/2023 11:49:44,299,5.867918
21/12/2023 11:49:44,300,5.889691
21/12/2023 11:49:44,301,5.907081
21/12/2023 11:49:44,302,5.92691
21/12/2023 11:49:44,303,5.947752
21/12/2023 11:49:44,304,5.962281
21/12/2023 11:49:44,305,5.976861
21/12/2023 11:49:44,306,5.988158
21/12/2023 11:49:44,307,5.998328
21/12/2023 11:49:44,308,6.003884
21/12/2023 11:49:44,309,6.011249
